y,square_meters,condominium_fees,is_available,energy_efficiency_class_encoded,conditions_encoded,floor_num,elevator_sign,floor_effect,num_bedrooms,num_other_rooms,num_bathrooms,kitchen_open,kitchen_diner,kitchen_nook,kitchen_semi,kitchenette,kitchen_none,suitable_disabled,furnished,security door,centralized tv system,optic fiber,window_double_glass,balcony,full day concierge,video entryphone,window_pvc,closet,electric gate,shared garden,window_wood,window_metal,half-day concierge,cellar,terrace,partially furnished,alarm system,kitchen,only kitchen furnished,single tv system,window_triple_glass,exposure_south,exposure_east,private garden,exposure_west,reception,exposure_north,attic,fireplace,tv system with satellite dish,hydromassage,pool,tavern,private and shared garden,tennis court,zone_encoded,zone_rent_per_sqm,contract_rent,contract_rent | 3+2,contract_rent | 4+4,contract_rent | 6+6,contract_rent | open,contract_rent | students (6 - 36 months),contract_rent | transitory,distance_to_duomo_km,bathrooms_x_bedrooms,zone_x_sqm
3000,110,500.0,0,3,1,1.0,1,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2108.5862068965516,27.75498193870298,True,False,False,False,False,False,False,1.1857353550199095,2.0,231944.48275862067
2200,111,400.0,1,3,1,6.0,1,6.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482.391304347826,25.72043125399107,True,False,False,False,False,False,False,3.393469104797584,2.0,164545.43478260867
2500,85,250.0,0,1,0,4.0,1,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155.2,29.859560781130924,False,False,True,False,False,False,False,1.258406296985452,4.0,268192.0
1250,40,90.0,1,3,1,2.0,1,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401.6666666666665,28.06521134925749,True,False,False,False,False,False,False,1.803738020828646,1.0,96066.66666666666
4200,170,833.0,1,1,1,4.0,1,4.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019.7674418604652,27.008401154101623,False,False,False,False,True,False,False,2.3321170644127216,6.0,343360.4651162791
5000,220,525.0,1,3,1,1.0,1,1.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137.5301204819275,30.191447011261396,False,False,True,False,False,False,False,2.511646464526937,12.0,470256.62650602404
1420,85,280.0,0,2,1,8.0,1,8.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916.0444444444445,22.567525211006718,False,False,True,False,False,False,False,3.1856596997750732,2.0,162863.77777777778
1600,70,200.0,1,2,1,2.0,1,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204.1176470588234,22.095862565766804,False,False,True,False,False,False,False,4.1539881309963835,2.0,84288.23529411764
4000,150,580.0,1,3,1,8.0,1,8.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541.3207547169811,26.27931869403935,False,False,True,False,False,False,False,3.218732546820899,9.0,231198.11320754717
2400,40,0.0,0,5,1,3.0,-1,-3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830.7692307692307,35.211646196940315,False,False,False,False,False,False,True,1.0372163653399218,1.0,73230.76923076923
