w,y,square_meters,contract_type,availability,description,other_features,conditions,floor,elevator,energy_efficiency_class,condominium_fees,zone
1,3000,110,rent,NA,"4 (2 bedrooms, 2 others), 1 bathroom - one or more suitable for disabled people",kitchen | balcony | terrace | furnished | cellar | shared garden | window frames in double glass / pvcexposure south,excellent,1,yes,e,500,quadronno - crocetta
1,2200,111,rent,available,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",electric gate | optic fiber | alarm system | closet | balcony | terrace | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,excellent,6,yes,e,400,farini
1,2500,85,rent | 4+4,NA,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",internal exposure | balcony | full day concierge | cellar | shared garden,good condition,4,yes,g,250,palestro
1,1250,40,rent,available,"1 room, 1 bathroom, kitchen nook",optic fiber | security door | internal exposure | closet | centralized tv system | furnished | window frames in double glass / wood,excellent,2,yes,e,90,repubblica
1,4200,170,rent | open,available,"4 (2 bedrooms, 2 others), 3 bathrooms, kitchen diner",fireplace | optic fiber | security door | balcony | terrace | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / wood | double exposure,excellent,4,yes,g,833,morgagni
1,5000,220,rent | 4+4,available,"5 (4 bedrooms, 1 other), 3 bathrooms, kitchen diner",optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvcdouble exposure,excellent,1,yes,e,525,centrale
1,1420,85,rent | 4+4,NA,"3 (2 bedrooms, 1 other), 1 bathroom, semi-habitable kitchen",electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | only kitchen furnished | cellar | shared garden | window frames in double glass / metal | double exposure,excellent,8,yes,f,280,frua
1,1600,70,rent | 4+4,available,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",electric gate | optic fiber | security door | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,excellent,2,yes,f,200,piazzale siena
1,4000,150,rent | 4+4,available,"4 (3 bedrooms, 1 other), 3 bathrooms, open kitchen",electric gate | optic fiber | video entryphone | security door | closet | terrace | full day concierge | single tv system | furnished | cellar | shared garden | window frames in double glass / pvc,excellent,8,yes,NA,580,lodi - brenta
1,2400,40,rent | transitory,available from 20/04/2024,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",optic fiber | security door | external exposure | half-day concierge | centralized tv system | furnished | window frames in glass / metal,excellent,3,no,c,0,lanza
